koi_period,pl_orbper,koi_prad,pl_rade,pl_orbeccen,st_mass,koi_steff,st_teff,koi_srad,st_rad,koi_kepmag,label
2.539183147,8.20075,2.06,2.42,0.079,0.866,5519.0,5274.0,1.062,0.841458,15.026,1.0
6.770300385,8.20075,2.77,2.42,0.079,0.866,5653.0,5274.0,0.679,0.841458,15.591,1.0
0.444291966,8.20075,27.51,2.42,0.079,0.866,5255.0,5274.0,0.636,0.841458,15.748,2.0
10.181584004,8.20075,7.73,2.42,0.079,0.866,5988.0,5274.0,0.836,0.841458,15.657,0.0
20.06036336,8.20075,1.96,2.42,0.079,0.866,3950.0,5274.0,0.493,0.841458,15.954,1.0
46.1842039,8.20075,1.83,2.42,0.079,0.866,3950.0,5274.0,0.493,0.841458,15.954,1.0
23.9800854,8.20075,1.31,2.42,0.079,0.866,5854.0,5274.0,1.012,0.841458,12.882,1.0
7.82502168,8.20075,1.2,2.42,0.079,0.866,3950.0,5274.0,0.493,0.841458,15.954,1.0
3.895936525,8.20075,7.34,2.42,0.079,0.866,5557.0,5274.0,0.774,0.841458,15.725,1.0
22.36646466,8.20075,2.32,2.42,0.079,0.866,5395.0,5274.0,0.734,0.841458,15.583,1.0
1.625522174,8.20075,9.73,2.42,0.079,0.866,5539.0,5274.0,1.106,0.841458,15.001,1.0
19.620346923,8.20075,13.6,2.42,0.079,0.866,5710.0,5274.0,0.905,0.841458,15.562,0.0
7.544039,8.20075,17.47,2.42,0.079,0.866,5657.0,5274.0,0.824,0.841458,15.559,2.0
9.02930689,8.20075,2.57,2.42,0.079,0.866,5349.0,5274.0,0.82,0.841458,15.387,1.0
10.328035714,8.20075,13.28,2.42,0.079,0.866,5627.0,5274.0,1.024,0.841458,15.646,2.0
143.2063047,8.20075,8.9,2.42,0.079,0.866,5485.0,5274.0,0.867,0.841458,15.403,1.0
6.164876,8.20075,0.79,2.42,0.079,0.866,5854.0,5274.0,1.012,0.841458,12.882,1.0
60.32494216,8.20075,12.19,2.42,0.079,0.866,5485.0,5274.0,0.867,0.841458,15.403,1.0
29.1598615,8.20075,1.91,2.42,0.079,0.866,5485.0,5274.0,0.867,0.841458,15.403,1.0
1.540397253,8.20075,25.69,2.42,0.079,0.866,5663.0,5274.0,0.915,0.841458,15.974,2.0
2.99025443,8.20075,1.7,2.42,0.079,0.866,4667.0,5274.0,0.731,0.841458,15.842,2.0
1.594745374,8.20075,11.3,2.42,0.079,0.866,5934.0,5274.0,0.893,0.841458,15.53,1.0
4.783002698,8.20075,2.5,2.42,0.079,0.866,5170.0,5274.0,0.807,0.841458,15.119,1.0
20.50588921,8.20075,3.41,2.42,0.079,0.866,4905.0,5274.0,0.761,0.841458,15.398,1.0
3.340218842,8.20075,2.03,2.42,0.079,0.866,3950.0,5274.0,0.493,0.841458,15.954,1.0
2.507089906,8.20075,30.26,2.42,0.079,0.866,5926.0,5274.0,0.939,0.841458,15.555,2.0
18.64932728,8.20075,3.12,2.42,0.079,0.866,5775.0,5274.0,1.053,0.841458,15.386,1.0
4.90144976,8.20075,1.7,2.42,0.079,0.866,5847.0,5274.0,1.402,0.841458,12.487,1.0
9.75192101,8.20075,2.76,2.42,0.079,0.866,5775.0,5274.0,1.053,0.841458,15.386,1.0
38.5576546,8.20075,4.02,2.42,0.079,0.866,5775.0,5274.0,1.053,0.841458,15.386,1.0
3.525632539,8.20075,11.58,2.42,0.079,0.866,5150.0,5274.0,0.793,0.841458,15.224,1.0
34.84398644,8.20075,7.61,2.42,0.079,0.866,5509.0,5274.0,0.871,0.841458,15.684,0.0
7.748094239,8.20075,5.52,2.42,0.079,0.866,5973.0,5274.0,1.085,0.841458,15.67,1.0
23.96793669,8.20075,1.8,2.42,0.079,0.866,3747.0,5274.0,0.524,0.841458,15.414,1.0
8.29561738,8.20075,1.82,2.42,0.079,0.866,3747.0,5274.0,0.524,0.841458,15.414,1.0
8.11437482,8.20075,2.1,2.42,0.079,0.866,3692.0,5274.0,0.517,0.841458,15.877,1.0
38.036729482,8.20075,27.5,2.42,0.079,0.866,5575.0,5274.0,0.932,0.841458,15.472,2.0
4.64090031,8.20075,30.09,2.42,0.079,0.866,6463.0,5274.0,0.826,0.841458,15.27,0.0
3.747838198,8.20075,13.65,2.42,0.079,0.866,5514.0,5274.0,0.826,0.841458,13.496,2.0
14.74914825,8.20075,2.89,2.42,0.079,0.866,5847.0,5274.0,1.402,0.841458,12.487,1.0
21.81295996,8.20075,3.38,2.42,0.079,0.866,5601.0,5274.0,0.999,0.841458,15.54,1.0
7.91936937,8.20075,10.34,2.42,0.079,0.866,5690.0,5274.0,0.776,0.841458,15.805,2.0
1.028436523,8.20075,72.77,2.42,0.079,0.866,6228.0,5274.0,0.99,0.841458,15.202,0.0
15.37562369,8.20075,11.01,2.42,0.079,0.866,4986.0,5274.0,0.833,0.841458,16.422,1.0
8.10363271,8.20075,2.11,2.42,0.079,0.866,4861.0,5274.0,0.732,0.841458,15.289,1.0
4.71510843,8.20075,1.46,2.42,0.079,0.866,4861.0,5274.0,0.732,0.841458,15.289,1.0
6.365839713,8.20075,2.44,2.42,0.079,0.866,5776.0,5274.0,0.849,0.841458,15.09,1.0
5.97581754,8.20075,3.86,2.42,0.079,0.866,6108.0,5274.0,0.997,0.841458,15.546,2.0
2.446737317,8.20075,26.25,2.42,0.079,0.866,5764.0,5274.0,0.863,0.841458,15.021,2.0
