id,time_mean,time_std,time_median,time_min,time_max,time_range,time_skew,time_kurtosis,mag_mean,mag_std,mag_median,mag_range,mag_brightness_var,depth_mean,depth_std,depth_max,depth_variability,frequency,log_period,duration_ratio
1015.01,351423.93628044287,860807.7171982666,0.004221,-0.004221,2459963.610065,2459963.614286,2.0412414523144373,2.166666666656046,3.5689666666666664,5.047285290353837,0.008,10.714899999999998,1.414214746664442,433.83551126666663,618.5899413678429,1301.5065338,1.4258628565507467,0.728307400491724,0.13768527706153347,1.8723701730152496
1016.01,351322.77716851427,860553.1254870697,0.0095088,-0.0095088,2459238.831138,2459238.8406468,2.04124145219284,2.16666666639129,3.5419,5.009005412255012,0.006,10.6317,1.41421423875745,1077.6175961666665,1536.0388789469346,3232.8527885,1.4254025587657235,0.07880878007042588,1.103425395153612,0.624173426916658
1017.01,351217.4913685714,860302.22424938,0.00137,-0.00137,2458518.96536,2458518.96673,2.0412414523153233,2.166666666657977,3.5339666666666667,4.997785990038212,0.006,10.6079,1.4142142417976622,4725.900000000001,6718.847650152715,14177.7,1.421707537220998,0.9056166343663401,0.043055608961497405,2.146311423448226
1018.01,351214.32127142855,860292.8286274899,0.00073,-0.00073,2458492.78078,2458492.78151,2.0412414523014504,2.166666666627769,3.5418000000000003,5.0088639909664145,0.006,10.631400000000001,1.4142142387956447,2480.0,3510.9722256039945,7440.0,1.4157146070983848,0.20164867960444594,0.6954046174073196,0.5059365371275548
1019.01,351320.19839695713,860551.5718868169,0.00012,-0.00012,2459232.446864,2459232.446984,2.0412414522963127,2.1666666666165826,3.5449333333333333,5.013295191344268,0.006,10.6408,1.4142142376004065,6932.3138764333335,9803.860057853384,20796.9416293,1.4142262212306893,0.19105478442448032,0.718842082167492,0.7083955853505917
102.01,351456.5683584,860885.9679571728,0.000126,-0.000126,2460187.916571,2460187.916697,2.041241452301174,2.166666666627168,3.236966666666667,4.577764782317045,0.006,9.7169,1.414214372195279,5020.666666666667,7100.519577206506,15062.0,1.414258314408413,0.22665777382446328,0.6446293810783998,0.8273008744592909
1020.01,351218.339,860302.8276775103,0.00241,-0.00241,2458521.29108,2458521.29349,2.041241452305378,2.1666666666363215,3.572433333333333,5.052194820955432,0.013,10.7303,1.4142166835738754,3506.2999999999997,4977.547181739483,10518.9,1.4196010557395211,0.30405117789426317,0.5170533097912282,1.1532661177529402
1021.01,351213.81743999996,860293.0847371662,0.00426,-0.00426,2458492.90429,2458492.90855,2.041241452315295,2.1666666666579166,3.5183666666666666,4.975724269111203,0.006,10.5611,1.4142142478359854,206.16066666666666,291.5575741171783,618.482,1.4142250257105866,0.5238920991832522,0.28075815109774865,1.0001100173408286
1022.01,351222.1455342857,860311.952184536,0.00834,-0.00834,2458547.448,2458547.45634,2.041241452302721,2.166666666630536,2.909746666666667,4.115007168283213,0.007,8.73624,1.4142149264826762,380.0,0.0,380.0,0.0,0.3230245434048079,0.4907644787205162,1.4455348317365153
1023.01,351329.72291675716,860576.6108083768,0.003015,-0.003015,2459303.303969,2459303.306984,2.0412414523112323,2.1666666666490695,3.232333333333333,4.571212263235601,0.006,9.703,1.414214374518594,726.6666666666666,1033.8157257620378,2180.0,1.4226821914156484,0.7567454587515835,0.12105017657561272,2.5994206508116893
